Resource,LCOM,LCOM*,CBO,FO,DIT,NOC,LOC,NOA,NOO,RFC,WMPC
org.jfree.chart.renderer.xy.WindItemRenderer,3,,17,13,3,0,76,0,2,360,3
org.jfree.chart.renderer.xy.XYAreaRenderer,70,80,33,25,3,1,343,5,14,396,59
org.jfree.chart.renderer.xy.XYAreaRenderer.XYAreaRendererState,,,3,3,3,0,9,2,0,14,1
org.jfree.chart.renderer.xy.XYAreaRenderer2,28,76,31,23,3,1,232,3,10,388,31
org.jfree.chart.renderer.xy.XYBarRenderer,109,82,37,27,3,2,312,6,20,409,55
org.jfree.chart.renderer.xy.XYBarRenderer.XYBarRendererState,1,0,1,1,3,0,12,1,2,15,3
org.jfree.chart.renderer.xy.XYBoxAndWhiskerRenderer,128,70,38,27,3,0,419,4,19,421,65
org.jfree.chart.renderer.xy.XYBubbleRenderer,13,100,26,21,3,0,165,1,4,371,27
org.jfree.chart.renderer.xy.XYDifferenceRenderer,177,65,33,22,3,0,562,4,21,398,86
org.jfree.chart.renderer.xy.XYDotRenderer,3,,11,10,3,0,49,0,2,352,6
org.jfree.chart.renderer.xy.XYItemRenderer,,,22,22,0,24,194,0,132,133,132
org.jfree.chart.renderer.xy.XYItemRendererState,,,2,2,2,5,7,1,0,13,1
org.jfree.chart.renderer.xy.XYLine3DRenderer,48,80,5,3,4,0,66,3,11,408,14
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer,1102,91,32,23,3,3,561,14,50,435,114
org.jfree.chart.renderer.xy.XYLineAndShapeRenderer.State,1,0,2,2,3,0,13,2,2,15,3
org.jfree.chart.renderer.xy.XYStepAreaRenderer,112,91,23,17,3,0,266,6,14,382,53
org.jfree.chart.renderer.xy.XYStepRenderer,6,,21,18,4,0,115,0,2,409,18
org.jfree.chart.renderer.xy.YIntervalRenderer,3,,22,18,3,0,80,0,2,362,10
org.jfree.chart.resources.JFreeChartResources,,,0,0,3,0,12,0,1,34,1
org.jfree.chart.servlet.ChartDeleter,4,0,5,4,1,0,28,1,4,27,7
